i,step,speed,pwm
464,12967950,0.20,-102.54,1580
465,12969951,0.20,-102.51,1580
466,12971951,0.20,-102.51,1580
467,12973951,0.20,-102.51,1580
468,12975950,0.20,-102.49,1580
469,12977951,0.20,-102.49,1580
470,12979951,0.20,-102.49,1580
471,12981950,0.20,-102.52,1580
472,12983951,0.20,-102.52,1580
473,12985951,0.20,-102.52,1580
474,12987950,0.20,-102.44,1580
475,12989951,0.20,-102.44,1580
476,12991951,0.20,-102.44,1580
477,12993950,0.20,-102.54,1580
478,12995951,0.20,-102.54,1580
479,12997950,0.20,-102.54,1580
480,12999951,0.20,-102.56,1580
481,13001951,0.20,-102.56,1580
482,13003951,0.20,-102.56,1580
483,13005950,0.20,-102.54,1580
484,13007951,0.20,-102.54,1580
485,13009950,0.20,-102.54,1580
486,13011951,0.20,-102.51,1580
487,13013951,0.20,-102.51,1580
488,13015950,0.20,-102.51,1580
489,13017951,0.20,-102.48,1580
490,13019951,0.20,-102.48,1580
491,13021950,0.20,-102.48,1580
492,13023951,0.20,-102.46,1580
493,13025951,0.20,-102.46,1580
494,13027951,0.20,-102.46,1580
495,13029950,0.20,-102.50,1580
496,13031951,0.20,-102.50,1580
497,13033950,0.20,-102.50,1580
498,13035951,0.20,-102.53,1580
499,13037951,0.20,-102.53,1580
500,13039950,0.20,-102.53,1580
501,13041951,0.20,-102.51,1580
502,13043951,0.20,-102.51,1580
503,13045950,0.20,-102.51,1580
504,13047951,0.20,-102.48,1580
505,13049950,0.20,-102.48,1580
506,13051951,0.20,-102.48,1580
507,13053951,0.20,-102.57,1580
508,13055950,0.20,-102.57,1580
509,13057951,0.20,-102.57,1580
510,13059951,0.20,-102.66,1580
511,13061951,0.20,-102.66,1580
512,13063950,0.20,-102.66,1580
513,13065951,0.20,-102.67,1580
514,13067951,0.20,-102.67,1580
515,13069950,0.20,-102.67,1580
516,13071951,0.20,-102.75,1580
517,13073951,0.20,-102.75,1580
518,13075951,0.20,-102.75,1580
519,13077950,0.20,-102.81,1580
520,13079951,0.20,-102.81,1580
521,13081951,0.20,-102.81,1580
522,13083950,0.20,-102.76,1580
523,13085951,0.20,-102.76,1580
524,13087950,0.20,-102.76,1580
525,13089951,0.20,-102.76,1580
526,13091951,0.20,-102.76,1580
527,13093950,0.20,-102.76,1580
528,13095951,0.20,-102.77,1580
529,13097951,0.20,-102.77,1580
530,13099950,0.20,-102.77,1580
531,13101951,0.20,-102.72,1580
532,13103951,0.20,-102.72,1580
533,13105950,0.20,-102.72,1580
534,13107951,0.20,-102.68,1580
535,13109951,0.20,-102.68,1580
536,13111950,0.20,-102.68,1580
537,13113951,0.20,-102.69,1580
538,13115951,0.20,-102.69,1580
539,13117951,0.20,-102.69,1580
540,13119950,0.20,-102.71,1580
541,13121951,0.20,-102.71,1580
542,13123951,0.20,-102.71,1580
543,13125950,0.20,-102.72,1580
544,13127951,0.20,-102.72,1580
545,13129950,0.20,-102.72,1580
546,13131951,0.20,-102.73,1580
547,13133951,0.20,-102.73,1580
548,13135951,0.20,-102.73,1580
549,13137950,0.20,-102.86,1580
550,13139950,0.20,-102.86,1580
551,13141951,0.20,-102.86,1580
552,13143951,0.20,-102.80,1580
553,13145951,0.20,-102.80,1580
554,13147951,0.20,-102.80,1580
555,13149950,0.20,-102.80,1580
556,13151951,0.20,-102.80,1580
557,13153951,0.20,-102.80,1580
558,13155950,0.20,-102.86,1580
559,13157951,0.20,-102.86,1580
560,13159950,0.20,-102.86,1580
561,13161951,0.20,-102.80,1580
562,13163951,0.20,-102.80,1580
563,13165951,0.20,-102.80,1580
564,13167950,0.20,-102.80,1580
565,13169951,0.20,-102.80,1580
566,13171951,0.20,-102.80,1580
567,13173950,0.20,-102.81,1580
568,13175951,0.20,-102.81,1580
569,13177951,0.20,-102.81,1580
570,13179950,0.20,-102.81,1580
571,13181950,0.20,-102.81,1580
572,13183951,0.20,-102.81,1580
573,13185951,0.20,-102.81,1580
574,13187950,0.20,-102.81,1580
575,13189951,0.20,-102.81,1580
576,13191951,0.20,-102.70,1580
577,13193950,0.20,-102.70,1580
578,13195951,0.20,-102.70,1580
579,13197951,0.20,-102.77,1580
580,13199951,0.20,-102.77,1580
581,13201950,0.20,-102.77,1580
582,13203951,0.20,-102.72,1580
583,13205951,0.20,-102.72,1580
584,13207950,0.20,-102.72,1580
585,13209951,0.20,-102.67,1580
586,13211951,0.20,-102.67,1580
587,13213950,0.20,-102.67,1580
588,13215951,0.20,-102.69,1580
589,13217951,0.20,-102.69,1580
590,13219951,0.20,-102.69,1580
591,13221950,0.20,-102.65,1580
592,13223951,0.20,-102.65,1580
593,13225951,0.20,-102.65,1580
594,13227950,0.20,-102.61,1580
595,13229951,0.20,-102.61,1580
596,13231950,0.20,-102.61,1580
597,13233951,0.20,-102.57,1580
598,13235951,0.20,-102.57,1580
599,13237950,0.20,-102.57,1580
600,13239951,0.20,-102.60,1580
601,13241951,0.20,-102.60,1580
602,13243951,0.20,-102.60,1580
603,13245950,0.20,-102.62,1580
604,13247950,0.20,-102.62,1580
605,13249951,0.20,-102.62,1580
606,13251951,0.20,-102.59,1580
607,13253950,0.20,-102.59,1580
608,13255951,0.20,-102.59,1580
609,13257951,0.20,-102.61,1580
610,13259950,0.20,-102.61,1580
611,13261951,0.20,-102.61,1580
612,13263951,0.20,-102.69,1580
613,13265951,0.20,-102.69,1580
614,13267951,0.20,-102.69,1580
615,13269950,0.20,-102.71,1580
616,13271951,0.20,-102.71,1580
617,13273950,0.20,-102.71,1580
618,13275951,0.20,-102.77,1580
619,13277951,0.20,-102.77,1580
620,13279950,0.20,-102.77,1580
621,13281951,0.20,-102.84,1580
622,13283951,0.20,-102.84,1580
623,13285950,0.20,-102.84,1580
624,13287951,0.20,-102.78,1580
625,13289951,0.20,-102.78,1580
626,13291951,0.20,-102.78,1580
627,13293950,0.20,-102.79,1580
628,13295951,0.20,-102.79,1580
629,13297951,0.20,-102.79,1580
630,13299950,0.20,-102.85,1580
631,13301950,0.20,-102.85,1580
632,13303951,0.20,-102.85,1580
633,13305951,0.20,-102.85,1580
634,13307951,0.20,-102.85,1580
635,13309950,0.20,-102.85,1580
636,13311951,0.20,-102.84,1580
637,13313951,0.20,-102.84,1580
638,13315950,0.20,-102.84,1580
