time,measured,predicted
0.415,525.8374445437096,354.5184980409491
0.416,526.0224100893386,355.0037893694146
0.417,525.5754690804047,355.48777790315097
0.418,525.7866321723642,355.9704671395916
0.419,525.9774389551278,356.45186056678074
0.42,526.148405059615,356.93196166339897
0.421,526.3022745536534,357.41077389878785
0.422,526.4415170982882,357.8883007329757
0.423,525.9526653884593,358.3645456167016
0.424,526.1261088496134,358.83951199144155
0.425,526.896367964652,359.3132032894322
0.426,526.3620311681868,359.7856229336963
0.427,526.4945380513682,360.2567743380673
0.428,526.6137942462314,360.7266609072141
0.429,526.1077148216082,361.1952860366655
0.43,526.2664133394474,361.66265311283456
0.431,526.4084820055026,362.1287655130437
0.432,525.9229338049523,362.59362660554837
0.433,526.0993504244572,363.05723974956186
0.434,526.8722853820115,363.5196082952796
0.435,526.3403568438104,363.98073558390286
0.436,526.4750311594294,364.44062494766365
0.437,526.5969980434863,364.899279709848
0.438,526.0925982391377,365.3567031848207
0.439,526.8654484152239,365.81289867804867
0.44,526.9476135737016,366.2678694861253
0.441,526.4089222163313,366.72161889679404
0.442,526.5367399946982,367.17415018897196
0.443,526.6517759952284,367.625466632774
0.444,526.7553083957056,368.07557148953606
0.445,526.849247556135,368.52446801183885
0.446,526.9330328005215,368.97215944353127
0.447,527.0084395204693,369.4186490197541
0.448,527.0770655684224,369.8639399669629
0.449,527.1380690115802,370.3080355029518
0.45,526.5795621104222,370.75093883687646
0.451,526.69031589938,371.1926531692774
0.452,526.790754309442,371.6331816921032
0.453,526.8803888784978,372.07252758873324
0.454,526.347649990648,372.5106940340012
0.455,527.0957549915832,372.94768419421723
0.456,526.5414794924249,373.383501227192
0.457,526.6560415431824,373.81814828225845
0.458,527.3725473888642,374.25162850029477
0.459,526.7913626499778,374.6839450137476
0.46,526.88093638498,375.11510094665425
0.461,526.961552746482,375.54509941466534
0.462,526.4206974718338,375.9739435250671
0.463,526.5480977246505,376.40163637680456
0.464,526.6619979521854,376.82818106050297
0.465,526.7645081569669,377.25358065849076
0.466,526.2433573412702,377.6778382448218
0.467,527.0018916071432,378.10095688529736
0.468,526.4570024464289,378.5229396374882
0.469,526.5800122017861,378.9437895507571
0.47,526.6907209816075,379.36350966628066
0.471,526.7911188834466,379.78210301707094
0.472,526.880716995102,380.199572627998
0.473,526.9613552955918,380.61592151581135
